,HS부호,한글품목명,영문품목명,중량단위코드
11116,8701939000,기타,Other,KG
11117,87019410,트레일러 견인용의 도로주행식 트랙터,Road tractors for trailers,
11118,8701941010,신차,New,KG
11119,8701941020,중고차,Used,KG
11120,8701942000,농업용 트랙터,Agricultural tractors,KG
11121,8701949000,기타,Other,KG
11122,87019510,트레일러 견인용의 도로주행식 트랙터,Road tractors for trailers,
11123,8701951010,신차,New,KG
11124,8701951020,중고차,Used,KG
11125,8701952000,농업용 트랙터,Agricultural tractors,KG
11126,8701959000,기타,Other,KG
11127,87021010,15인 이하인 것,Of not more than 15 persons,
11128,8702101010,신차,New,KG
11129,8702101020,중고차,Used,KG
11130,87021020,15인 초과 35인 이하인 것,Of more than 15 persons but not more than 35 persons,
11131,8702102010,신차,New,KG
11132,8702102020,중고차,Used,KG
11133,87021030,35인 초과인 것,Of more than 35 persons,
11134,8702103010,신차,New,KG
11135,8702103020,중고차,Used,KG
11136,8702201000,신차,New,KG
11137,8702202000,중고차,Used,KG
11138,8702301000,신차,New,KG
11139,8702302000,중고차,Used,KG
11140,8702401000,신차,New,KG
11141,8702402000,중고차,Used,KG
11142,87029010,15인 이하인 것,Of not more than 15 persons,
11143,8702901010,신차,New,KG
11144,8702901020,중고차,Used,KG
11145,87029020,15인 초과 35인 이하인 것,Of more than 15 persons but not more than 35 persons,
11146,8702902010,신차,New,KG
11147,8702902020,중고차,Used,KG
11148,87029030,35인 초과인 것,Of more than 35 persons,
11149,8702903010,신차,New,KG
11150,8702903020,중고차,Used,KG
11151,8703101000,설상주행용,For travelling on snow,KG
11152,8703102000,골프용차,Golf cars,KG
11153,8703109000,기타,Other,KG
11154,8703217000,신차,New,KG
11155,8703218000,중고차,Used,KG
11156,8703227000,신차,New,KG
11157,8703228000,중고차,Used,KG
11158,87032310,"2,000시시 이하인 것","Not exceeding 2,000cc",
11159,8703231010,신차,New,KG
11160,8703231020,중고차,Used,KG
11161,87032390,기타,Other,
11162,8703239010,신차,New,KG
11163,8703239020,중고차,Used,KG
11164,87032410,"4,000시시 이하인 것","Not exceeding 4,000cc",
11165,8703241010,신차,New,KG
11166,8703241020,중고차,Used,KG
11167,87032490,기타,Other,
11168,8703249010,신차,New,KG
11169,8703249020,중고차,Used,KG
11170,8703317000,신차,New,KG
11171,8703318000,중고차,Used,KG
11172,87033210,"2,000시시 이하인 것","Not exceeding 2,000cc",
11173,8703321010,신차,New,KG
11174,8703321020,중고차,Used,KG
11175,87033290,기타,Other,
11176,8703329010,신차,New,KG
11177,8703329020,중고차,Used,KG
11178,8703337000,신차,New,KG
11179,8703338000,중고차,Used,KG
11180,8703401000,신차,New,KG
11181,8703402000,중고차,Used,KG
11182,8703501000,신차,New,KG
11183,8703502000,중고차,Used,KG
11184,8703601000,신차,New,KG
11185,8703602000,중고차,Used,KG
11186,8703701000,신차,New,KG
11187,8703702000,중고차,Used,KG
11188,8703801000,신차,New,KG
11189,8703802000,중고차,Used,KG
11190,8703900000,기타,Other,KG
11191,8704100000,덤프차(비고속도로용으로 설계된 것으로 한정한다),Dumpers designed for off-highway use,KG
11192,87042110,일반 화물자동차,General motor vehicles for the transport of goods,
11193,8704211010,신차,New,KG
11194,8704211020,중고차,Used,KG
11195,87042190,기타,Other,
11196,8704219010,냉동차ㆍ냉장차,Freezer and refrigerator vehicles,KG
11197,8704219020,탱크차,Tank lorries,KG
11198,8704219090,기타,Other,KG
11199,87042210,일반 화물자동차,General motor vehicles for the transport of goods,
